indic_code,urau_code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EN1002V,AT001C,5.3,,,,,,,,,,,,,,,,,
EN1002V,AT002C,5.13,,,,,,,,,,,,,,,,,
EN1002V,AT003C,4.86,,,,,,,,,,,,,,,,,
EN1002V,AT004C,4.6,,,,,,,,,,,,,,,,,
EN1002V,AT005C,5.25,,,,,,,,,,,,,,,,,
EN1002V,BE001C,,,,,4.06,,,5.0,,,,,,,,,,
EN1002V,BE002C,,,,,4.06,,,5.0,,,,,,,,,,
EN1002V,BE003C,,,,,5.15,,,5.0,,,,,,,,,,
EN1002V,BE004C,,,,,3.31,,,5.0,,,,,,,,,,
EN1002V,BE005C,,,,,4.45,,,5.0,,,,,,,,,,
EN1002V,BE006C,,,,,4.52,,,5.0,,,,,,,,,,
EN1002V,BE007C,,,,,4.41,,,5.0,,,,,,,,,,
EN1002V,BE008C,,,,,,,,5.0,,,,,,,,,,
EN1002V,BE009C,,,,,,,,5.0,,,,,,,,,,
EN1002V,BE010C,,,,,,,,5.0,,,,,,,,,,
EN1002V,BE011C,,,,,,,,5.0,,,,,,,,,,
EN1002V,CH009C,,,5.0,4.0,4.0,4.0,4.0,5.0,,,,,,,,,,
EN1002V,CY001C,8.9,9.0,8.9,8.9,,,,,,,,,,,,,,
EN1002V,CZ,4.9,,,,4.7,,,,,,,,,,,,,
EN1002V,CZ001C,4.8,,,,4.5,,,,,,,,,,,,,
EN1002V,CZ002C,4.8,,,,4.7,,,,,,,,,,,,,
EN1002V,CZ003C,4.5,,,,4.6,,,,,,,,,,,,,
EN1002V,CZ006C,4.8,,,,4.7,,,,,,,,,,,,,
EN1002V,CZ007C,4.3,,,,4.4,,,,,,,,,,,,,
EN1002V,CZ008C,4.7,,,,4.6,,,,,,,,,,,,,
EN1002V,CZ009C,4.9,,,,4.9,,,,,,,,,,,,,
EN1002V,CZ011C,4.3,,,,4.8,,,,,,,,,,,,,
EN1002V,CZ012C,4.9,,,,4.7,,,,,,,,,,,,,
EN1002V,CZ013C,4.2,,,,4.4,,,,,,,,,,,,,
EN1002V,CZ014C,4.3,,,,4.6,,,,,,,,,,,,,
EN1002V,DE001C,4.6,5.27,5.23,4.86,4.61,4.73,4.1,5.4,,,,,,,,,,
EN1002V,DE002C,4.3,4.94,4.56,4.2,4.44,4.77,4.2,4.5,,,,,,,,,,
EN1002V,DE003C,4.9,5.21,5.47,5.44,5.23,4.93,4.5,5.8,,,,,,,,,,
EN1002V,DE004C,4.3,4.68,4.66,4.3,4.12,4.29,4.0,4.8,,,,,,,,,,
EN1002V,DE005C,4.5,4.85,4.76,4.79,4.13,4.78,4.7,5.4,,,,,,,,,,
EN1002V,DE006C,2.8,4.46,4.4,4.16,4.24,4.55,4.1,4.9,,,,,,,,,,
EN1002V,DE007C,4.6,4.95,5.21,5.14,4.65,4.94,4.5,5.7,,,,,,,,,,
EN1002V,DE008C,4.6,4.99,5.2,5.01,4.63,4.75,4.7,5.7,,,,,,,,,,
EN1002V,DE009C,4.4,5.23,5.23,4.91,4.67,4.74,4.6,5.8,,,,,,,,,,
EN1002V,DE010C,2.8,4.48,4.47,4.21,4.3,4.17,4.0,4.9,,,,,,,,,,
EN1002V,DE011C,4.1,4.63,4.54,4.28,3.75,4.37,4.1,4.9,,,,,,,,,,
EN1002V,DE012C,4.0,4.57,4.36,4.18,4.46,4.78,4.5,4.7,,,,,,,,,,
EN1002V,DE013C,4.2,4.53,4.77,4.39,4.5,4.55,4.0,4.6,,,,,,,,,,
EN1002V,DE014C,4.4,4.87,4.94,5.14,4.75,4.73,4.4,5.4,,,,,,,,,,
EN1002V,DE015C,3.9,4.48,4.47,4.21,4.28,4.17,4.0,4.9,,,,,,,,,,
EN1002V,DE016C,3.8,4.45,4.6,4.12,4.16,4.45,4.0,5.0,,,,,,,,,,
EN1002V,DE017C,4.3,4.86,4.97,4.9,4.56,4.56,4.3,5.3,,,,,,,,,,
EN1002V,DE018C,4.5,5.15,5.25,4.7,4.83,4.88,4.4,5.3,,,,,,,,,,
EN1002V,DE019C,4.3,4.85,4.76,4.79,4.13,4.78,4.7,5.4,,,,,,,,,,
EN1002V,DE020C,4.1,4.66,4.88,4.13,4.15,4.11,4.0,4.8,,,,,,,,,,
EN1002V,DE021C,2.8,4.63,4.54,4.28,3.75,4.37,4.0,4.9,,,,,,,,,,
EN1002V,DE022C,4.3,4.63,4.54,4.28,3.75,4.37,4.0,4.9,,,,,,,,,,
EN1002V,DE023C,4.1,4.85,4.76,4.79,4.13,4.78,4.7,5.4,,,,,,,,,,
EN1002V,DE024C,4.3,4.9,4.69,4.64,3.95,4.44,,,,,,,,,,,,
EN1002V,DE025C,4.3,4.99,5.14,5.18,4.68,4.9,4.6,5.7,,,,,,,,,,
EN1002V,DE026C,4.6,4.61,4.96,5.05,4.54,4.52,4.2,5.0,,,,,,,,,,
EN1002V,DE027C,4.6,5.0,4.94,4.78,4.66,4.94,4.6,4.0,,,,,,,,,,
EN1002V,DE028C,4.8,5.28,5.39,5.05,4.56,4.32,4.3,5.4,,,,,,,,,,
EN1002V,DE029C,4.4,5.13,4.71,4.46,4.68,4.96,4.4,4.8,,,,,,,,,,
EN1002V,DE030C,4.8,5.28,5.39,5.05,4.56,4.32,4.3,5.4,,,,,,,,,,
EN1002V,DE031C,4.8,4.87,5.25,5.15,4.82,4.68,4.3,5.2,,,,,,,,,,
EN1002V,DE032C,4.3,4.68,4.66,4.3,4.12,4.29,4.3,5.1,,,,,,,,,,
EN1002V,DE033C,5.0,5.3,5.2,5.33,4.57,4.93,4.5,5.6,,,,,,,,,,
EN1002V,DE034C,4.1,4.63,4.54,4.28,3.75,4.37,4.1,4.9,,,,,,,,,,
EN1002V,DE035C,4.3,4.85,4.76,4.79,4.13,4.78,4.7,5.4,,,,,,,,,,
EN1002V,DE036C,4.3,4.95,4.65,4.72,5.0,5.16,4.3,4.4,,,,,,,,,,
EN1002V,DE037C,4.6,4.92,4.71,4.94,4.26,4.95,,,,,,,,,,,,
EN1002V,DE038C,4.6,5.32,5.28,4.89,4.8,4.98,4.5,5.6,,,,,,,,,,
