band,x,y,spatial_ref,admin_commune_2024_10m_b1,admin_quartiers_2024_10m_b1,air_temperature_2017_month_mean_10m_b12,dem_2019_10m_b1,dem_aspect_2019_10m_b1,dem_slope_2019_10m_b1,dem_surface_model_2019_10m_b1,flood_map_2021_10m_b1,hrl_treecover_2018_10m_b1,land_cover_2021_10m_b1,land_use_07_15_18_21_10m_b4,pH_CaCl_10m_b1,protected_areas_2023_10m_b1,public_forests_2024_10m_b1,shadow_2019_10m_b1,soil_map_25000_10m_main_classes_b1,soil_nitrat_10m_b1,twi_2019_10m_b1,Heracleum Mantegazzianum
1,76835.0,72705.0,0,61.0,11.0,291.01602,295.0,-9999.0,0.0,296.04645,0.0,0.0,20.0,111.0,5.820016,0.0,-3.4028235e+38,0.40616858,5.0,1.8660913,0.20837031,False
1,76835.0,78055.0,0,35.0,18.0,286.7878,336.0,26.565046,3.1996014,336.12155,0.0,0.0,91.0,234.0,5.3718176,0.0,-3.4028235e+38,0.3270692,3.0,2.149217,0.21721135,False
1,76835.0,77915.0,0,35.0,18.0,286.87326,338.0,71.56505,2.263636,339.22968,0.0,0.0,92.0,210.0,5.398875,0.0,-3.4028235e+38,0.07346789,3.0,2.1567612,0.23622316,False
1,76835.0,73055.0,0,61.0,11.0,291.1374,292.0,360.0,2.8624053,301.46774,0.0,0.0,10.0,111.0,5.6718855,0.0,-3.4028235e+38,0.20754875,5.0,1.9759616,0.17822897,False
1,76835.0,76245.0,0,75.0,27.0,289.95203,320.0,153.43495,3.1996014,325.39056,0.0,0.0,10.0,111.0,5.382787,0.0,-3.4028235e+38,0.5114947,5.0,2.3063328,0.19340758,False
1,76835.0,74315.0,0,61.0,10.0,291.035,277.0,236.30994,5.1506524,283.16904,0.0,0.0,20.0,111.0,5.801466,0.0,-3.4028235e+38,0.37282595,5.0,1.967245,0.19353782,False
1,76835.0,75075.0,0,75.0,26.0,290.68317,298.0,198.43495,2.263636,298.41776,0.0,0.0,20.0,612.0,5.255408,0.0,-3.4028235e+38,0.27734995,5.0,2.1424546,0.21972366,False
1,76835.0,75055.0,0,75.0,26.0,290.68317,298.0,225.0,3.0357237,310.85547,0.0,0.0,70.0,133.0,5.255408,0.0,-3.4028235e+38,0.6855287,5.0,2.0685418,0.1638099,False
1,76835.0,76365.0,0,75.0,27.0,289.93723,324.0,161.56505,2.263636,325.35788,0.0,0.0,20.0,111.0,5.4121766,0.0,-3.4028235e+38,0.44286343,5.0,2.3546526,0.21197125,False
1,76835.0,75045.0,0,75.0,26.0,290.68317,297.0,225.0,4.0446916,308.05792,0.0,54.0,70.0,133.0,5.2610993,0.0,-3.4028235e+38,0.7433191,5.0,2.0685418,0.17580524,False
1,76835.0,75795.0,0,75.0,26.0,289.95737,310.0,180.0,1.4320962,311.71423,0.0,0.0,20.0,650.0,5.3336563,0.0,-3.4028235e+38,0.0688611,5.0,2.3231602,0.22099242,False
