index,indic_code,urau_code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
7,DE1001V,BE,9986975.0,10021997.0,10068319.0,10100631.0,10130574.0,10143047.0,10170226.0,10192264.0,10213752.0,10239085.0,10263414.0,10309725.0,10355844.0,10396421.0,10445852.0,10511382.0,10584534.0,10666866.0,10753080.0,10839905.0,11000638.0,11094850.0,11161642.0,11203992.0,11258434.0,11307192.0,11351727.0,11398589.0,11455519.0,11522440.0,11554767.0
8,DE1001V,BE001C,954045.0,951217.0,950339.0,949070.0,951580.0,948122.0,950597.0,953175.0,954460.0,964405.0,964405.0,978384.0,992041.0,999899.0,1006749.0,1018804.0,1031215.0,1048491.0,1068532.0,1089538.0,1136778.0,1159448.0,1174624.0,1183841.0,1196831.0,1201129.0,1199095.0,1205492.0,1215289.0,1223364.0,1226329.0
9,DE1001V,BE002C,467518.0,465783.0,465102.0,462880.0,459072.0,455852.0,453030.0,449745.0,447632.0,446525.0,445570.0,448709.0,452474.0,455148.0,457749.0,461496.0,466203.0,472071.0,477936.0,483505.0,498473.0,507368.0,512230.0,513915.0,515593.0,517731.0,520859.0,523591.0,526439.0,530014.0,530627.0
10,DE1001V,BE003C,230246.0,230232.0,229821.0,228490.0,227483.0,226464.0,225469.0,224545.0,224074.0,224180.0,224685.0,226220.0,228016.0,229344.0,230951.0,233120.0,235143.0,237250.0,240049.0,243366.0,248358.0,249205.0,249754.0,251984.0,253914.0,257226.0,259462.0,260329.0,262205.0,263687.0,264019.0
11,DE1001V,BE004C,206214.0,206903.0,207045.0,206898.0,206491.0,205591.0,204899.0,203853.0,202020.0,200827.0,200233.0,200578.0,200460.0,200608.0,201373.0,201300.0,201550.0,201593.0,202234.0,202598.0,204150.0,204762.0,204826.0,203640.0,203228.0,202602.0,201884.0,202341.0,202637.0,203314.0,238412.0
13,DE1001V,BE006C,117063.0,116717.0,116871.0,116724.0,116273.0,115815.0,115500.0,115573.0,115991.0,116246.0,116559.0,116836.0,116811.0,117025.0,117327.0,117224.0,116982.0,117073.0,116969.0,116741.0,117260.0,117617.0,118145.0,117886.0,118335.0,118219.0,118393.0,118526.0,118569.0,118916.0,118802.0
208,DE1001V,EE001C,476591.0,470299.0,449688.0,438346.0,429563.0,421249.0,413851.0,408238.0,404091.0,400378.0,399685.0,398434.0,397150.0,392306.0,401646.0,398635.0,399141.0,401389.0,403930.0,406665.0,393222.0,403862.0,406059.0,411063.0,413782.0,423420.0,426538.0,430805.0,434562.0,438341.0,438341.0
209,DE1001V,EE002C,114046.0,113238.0,108795.0,105863.0,104874.0,103356.0,101750.0,100705.0,100201.0,101169.0,101207.0,101140.0,101190.0,100482.0,100909.0,99206.0,98248.0,98706.0,98475.0,98387.0,97600.0,99558.0,99518.0,98449.0,97332.0,93687.0,93124.0,96506.0,96974.0,95430.0,95430.0
321,DE1001V,FI001C,492400.0,497542.0,501514.0,508588.0,515765.0,525031.0,532053.0,539363.0,546317.0,551123.0,555474.0,559718.0,559716.0,559330.0,559046.0,560905.0,564521.0,568531.0,576632.0,583350.0,588549.0,595384.0,603968.0,612664.0,620715.0,628208.0,635181.0,643272.0,648042.0,653835.0,656920.0
322,DE1001V,FI002C,172560.0,173797.0,174859.0,176149.0,179251.0,182742.0,186026.0,188726.0,191254.0,193174.0,195468.0,197774.0,199823.0,200966.0,202932.0,204337.0,206368.0,207866.0,209552.0,211507.0,213217.0,215168.0,217421.0,220446.0,223004.0,225118.0,228274.0,231853.0,235239.0,238140.0,241009.0
323,DE1001V,FI003C,159180.0,159403.0,159916.0,160390.0,162370.0,164744.0,166929.0,168772.0,170931.0,172107.0,172561.0,173686.0,174618.0,175059.0,174824.0,174868.0,175354.0,175286.0,175582.0,176087.0,177326.0,178630.0,180225.0,182072.0,183824.0,185908.0,187604.0,189669.0,191331.0,192962.0,194391.0
324,DE1001V,FI004C,101379.0,102280.0,103538.0,104346.0,106419.0,109094.0,111556.0,113567.0,115493.0,117670.0,120753.0,123274.0,124588.0,125928.0,127226.0,128962.0,130178.0,131585.0,137061.0,139133.0,141671.0,143909.0,190847.0,193798.0,196291.0,198525.0,200526.0,201810.0,203567.0,205489.0,207327.0
325,DE1001V,FI005C,172629.0,175670.0,179054.0,182647.0,186507.0,191247.0,196260.0,200834.0,204962.0,209667.0,213271.0,216836.0,221597.0,224231.0,227472.0,231704.0,235019.0,238047.0,241565.0,244330.0,247970.0,252439.0,256824.0,260753.0,265543.0,269802.0,274583.0,279044.0,283632.0,289731.0,292796.0
326,DE1001V,FI006C,154933.0,157274.0,159213.0,161103.0,164376.0,166480.0,168778.0,171297.0,173860.0,176386.0,178471.0,179856.0,181890.0,184039.0,185429.0,187281.0,189711.0,192522.0,195397.0,197636.0,200055.0,203001.0,205312.0,208098.0,210803.0,214605.0,219341.0,223027.0,228166.0,233775.0,237231.0
327,DE1001V,FI007C,93151.0,93414.0,93784.0,94160.0,94706.0,95119.0,95501.0,95854.0,96227.0,96666.0,96921.0,97543.0,97968.0,98253.0,98281.0,98413.0,98766.0,99308.0,100080.0,100854.0,101588.0,102308.0,103016.0,103364.0,103754.0,118743.0,119452.0,119573.0,119951.0,119823.0,119984.0
328,DE1001V,FI008C,80613.0,81593.0,82340.0,83097.0,83955.0,84733.0,85255.0,85862.0,86203.0,86575.0,86651.0,87347.0,87821.0,88250.0,90518.0,90726.0,90960.0,91320.0,91959.0,92626.0,96793.0,97433.0,105136.0,106342.0,111289.0,112117.0,117740.0,118209.0,118664.0,119282.0,120210.0
329,DE1001V,FI009C,66526.0,67026.0,67609.0,71842.0,73083.0,74072.0,75353.0,76194.0,76948.0,77879.0,78996.0,80372.0,81110.0,82409.0,83582.0,84434.0,84739.0,85402.0,128028.0,129623.0,130816.0,132062.0,133482.0,134658.0,135780.0,137368.0,138850.0,140188.0,141305.0,142400.0,143420.0
442,DE1001V,IT001C,2775250.0,2769012.0,2727693.0,2697560.0,2674863.0,2653253.0,2630040.0,2610178.0,2587635.0,2570489.0,2546804.0,2545860.0,2540829.0,2542003.0,2553873.0,2547677.0,2705603.0,2572486.0,2576803.0,2590650.0,2608530.0,2614263.0,2638842.0,2863322.0,2872021.0,2864731.0,2873494.0,2872800.0,2820219.0,2808293.0,2770226.0
445,DE1001V,IT004C,962507.0,960188.0,960405.0,949532.0,934918.0,920952.0,910624.0,900094.0,889942.0,879285.0,865263.0,864671.0,861644.0,867857.0,902255.0,900608.0,900569.0,876282.0,876940.0,877359.0,874320.0,869312.0,872091.0,902137.0,896773.0,890529.0,886837.0,882523.0,860793.0,857910.0,858205.0
446,DE1001V,IT005C,698556.0,699519.0,699756.0,698860.0,698720.0,696781.0,696345.0,696772.0,696650.0,694912.0,686722.0,686045.0,682901.0,679730.0,675277.0,670820.0,666552.0,665252.0,662222.0,659193.0,659326.0,656829.0,654987.0,678492.0,678492.0,674435.0,673735.0,668405.0,652720.0,647422.0,637885.0
447,DE1001V,IT006C,678771.0,677946.0,669262.0,662049.0,653872.0,646963.0,640512.0,634101.0,627349.0,620920.0,610307.0,609399.0,604732.0,601338.0,605084.0,620316.0,615686.0,592370.0,592165.0,590350.0,587680.0,584644.0,582320.0,596958.0,592507.0,586655.0,583601.0,580097.0,569184.0,565752.0,566410.0
448,DE1001V,IT007C,403294.0,401529.0,396115.0,390031.0,385313.0,380348.0,375165.0,371889.0,366820.0,362828.0,356118.0,355315.0,352940.0,367259.0,368059.0,366901.0,365966.0,349606.0,350434.0,354300.0,356419.0,357318.0,366039.0,377207.0,381037.0,382808.0,382258.0,380948.0,369885.0,366927.0,368419.0
